r0,r1,r2,E
3.45,0.97,2.7008612565048775,-150.65436
3.1,0.97,2.5096533262472933,-150.65435
3.15,0.97,2.543130842117743,-150.65435
3.2,0.97,2.576947073641248,-150.65435
3.3,0.97,2.631859319027577,-150.65435
3.5,0.97,2.7262893146358964,-150.65435
3.25,0.97,2.6111054891300407,-150.65434
3.05,0.97,2.476510937184431,-150.65433
3.4,0.97,2.6894423540444317,-150.65433
3.1,0.97,2.5245246206087177,-150.65432
3.15,0.97,2.557786242079077,-150.65432
3.35,0.97,2.6669698904358006,-150.65432
3.45,0.97,2.713082263325935,-150.65432
2.9,0.97,2.0828099517037657,-150.6543107
3.2,0.97,2.591377726132887,-150.65431
3.3,0.97,2.6456094321372934,-150.65431
3.5,0.97,2.737942081865606,-150.65431
2.9,0.97,2.000064008806585,-150.6543087
3.05,0.97,2.49158899168988,-150.6543
3.25,0.97,2.625302822778951,-150.6543
3.15,0.97,2.572613981561374,-150.65429
3.35,0.97,2.680462117652432,-150.65429
3.4,0.97,2.7024398363719513,-150.65429
2.5,0.97,3.0012900523053703,-150.6542869
3.1,0.97,2.539559383551433,-150.65428
3.2,0.97,2.605989467053525,-150.65428
3.3,0.97,2.6595651575574757,-150.65428
3.45,0.97,2.725554852988374,-150.65428
2.9,0.97,1.947861749665965,-150.6542796
2.9,0.97,2.2040364381003164,-150.6542707
3.05,0.97,2.5068215337703306,-150.65427
3.5,0.97,2.7498608841814645,-150.65427
3.25,0.97,2.6396898603557206,-150.65426
3.05,0.97,2.5222011667317825,-150.65425
3.1,0.97,2.5547501900103318,-150.65425
3.15,0.97,2.587606620345927,-150.65425
3.35,0.97,2.694168227511453,-150.65425
3.4,0.97,2.7156666286990783,-150.65425
3.45,0.97,2.7382718147133365,-150.65425
2.7,0.97,2.6891341510266193,-150.6542491
3.2,0.97,2.620774854158698,-150.65424
3.3,0.97,2.6737190582097567,-150.65424
3.5,0.97,2.762038670851251,-150.65424
2.0,0.97,1.8674652386446882,-150.6542303
3.25,0.97,2.654259170582032,-150.65423
2.7,0.97,2.503739336210432,-150.654222
3.05,0.97,2.537720574351074,-150.65422
3.1,0.97,2.5700896870831356,-150.65422
3.15,0.97,2.6027567816722748,-150.65422
3.2,0.97,2.6357264996072733,-150.65421
3.35,0.97,2.7080808295216032,-150.65421
3.4,0.97,2.7291153975578277,-150.65421
3.45,0.97,2.7512259133175907,-150.65421
3.3,0.97,2.688063726594285,-150.6542
3.5,0.97,2.774468346943988,-150.6542
3.05,0.97,2.553372523968665,-150.65419
3.1,0.97,2.5855705976331707,-150.65419
3.15,0.97,2.6180571563354014,-150.65419
3.25,0.97,2.6690033672245566,-150.65419
2.9,0.97,2.3481859437208934,-150.6541886
3.2,0.97,2.650837074534044,-150.65418
3.4,0.97,2.742778811506789,-150.65418
2.7,0.97,2.8689545134072794,-150.6541769
3.05,0.97,2.569149869217068,-150.65417
3.3,0.97,2.702591790641665,-150.65417
3.35,0.97,2.722192552553366,-150.65417
3.45,0.97,2.7644098972418134,-150.65417
3.1,0.97,2.6011857235165423,-150.65416
3.15,0.97,2.6335005063993355,-150.65416
